yearmonth,Num_passengers,Var_pass,Search Volume,Var_search
01-2018,2634251,,15285,
02-2018,2573853,-0.02,13921,-0.09
03-2018,3220554,0.25,16073,0.15
04-2018,3671955,0.14,20292,0.26
05-2018,3921637,0.07,20118,-0.01
06-2018,4088050,0.04,22777,0.13
07-2018,4432641,0.08,28939,0.27
08-2018,4366802,-0.01,32432,0.12
09-2018,4126612,-0.06,16618,-0.49
10-2018,3878229,-0.06,13302,-0.20
11-2018,3074114,-0.21,11747,-0.12
12-2018,3006421,-0.02,12673,0.08
01-2019,2757993,-0.08,10252,-0.19
02-2019,2716185,-0.02,9430,-0.08
03-2019,3316274,0.22,11476,0.22
04-2019,3709509,0.12,14619,0.27
05-2019,3846483,0.04,15363,0.05
06-2019,4201110,0.09,17853,0.16
07-2019,4444381,0.06,28087,0.57
08-2019,4469838,0.01,28123,0.00
09-2019,4160302,-0.07,13568,-0.52
10-2019,3887481,-0.07,12305,-0.09
11-2019,3049135,-0.22,12188,-0.01
12-2019,2973882,-0.02,9276,-0.24
01-2020,2742700,-0.08,6722,-0.28
02-2020,2416644,-0.12,5441,-0.19
03-2020,634823,-0.74,1332,-0.76
04-2020,69423,-0.89,266,-0.80
05-2020,108961,0.57,133,-0.50
06-2020,293071,1.69,506,2.80
07-2020,714802,1.44,1539,2.04
08-2020,913592,0.28,4557,1.96
09-2020,715602,-0.22,1991,-0.56
10-2020,601508,-0.16,1850,-0.07
11-2020,275035,-0.54,1491,-0.19
12-2020,344796,0.25,768,-0.48
01-2021,314577,-0.09,1597,1.08
02-2021,344650,0.10,1276,-0.20
03-2021,374634,0.09,1353,0.06
04-2021,417651,0.11,1252,-0.07
05-2021,569016,0.36,2686,1.15
06-2021,822655,0.45,5549,1.07
07-2021,1344728,0.63,8061,0.45
08-2021,1661454,0.24,9311,0.16
09-2021,1510638,-0.09,6779,-0.27
10-2021,1508736,0.00,7354,0.08
11-2021,1452288,-0.04,9541,0.30
12-2021,1341815,-0.08,7458,-0.22
01-2022,933989,-0.30,3717,-0.50
02-2022,1104428,0.18,5351,0.44
03-2022,1630451,0.48,7893,0.48
04-2022,2330609,0.43,11296,0.43
05-2022,2636231,0.13,12764,0.13
06-2022,3019706,0.15,14447,0.13
07-2022,3251601,0.08,16208,0.12
08-2022,3300742,0.02,18722,0.16
09-2022,3281923,-0.01,10946,-0.42
10-2022,3104675,-0.05,9459,-0.14
11-2022,2360329,-0.24,9141,-0.03
12-2022,2405929,0.02,11274,0.23