yearmonth,Var_pass,Var_search
01-2018,,
02-2018,-0.02,-0.09
03-2018,0.25,0.15
04-2018,0.14,0.26
05-2018,0.07,-0.01
06-2018,0.04,0.13
07-2018,0.08,0.27
08-2018,-0.01,0.12
09-2018,-0.06,-0.49
10-2018,-0.06,-0.20
11-2018,-0.21,-0.12
12-2018,-0.02,0.08
01-2019,-0.08,-0.19
02-2019,-0.02,-0.08
03-2019,0.22,0.22
04-2019,0.12,0.27
05-2019,0.04,0.05
06-2019,0.09,0.16
07-2019,0.06,0.57
08-2019,0.01,0.00
09-2019,-0.07,-0.52
10-2019,-0.07,-0.09
11-2019,-0.22,-0.01
12-2019,-0.02,-0.24
01-2020,-0.08,-0.28
02-2020,-0.12,-0.19
03-2020,-0.74,-0.76
04-2020,-0.89,-0.80
05-2020,0.57,-0.50
06-2020,1.69,2.80
07-2020,1.44,2.04
08-2020,0.28,1.96
09-2020,-0.22,-0.56
10-2020,-0.16,-0.07
11-2020,-0.54,-0.19
12-2020,0.25,-0.48
01-2021,-0.09,1.08
02-2021,0.10,-0.20
03-2021,0.09,0.06
04-2021,0.11,-0.07
05-2021,0.36,1.15
06-2021,0.45,1.07
07-2021,0.63,0.45
08-2021,0.24,0.16
09-2021,-0.09,-0.27
10-2021,0.00,0.08
11-2021,-0.04,0.30
12-2021,-0.08,-0.22
01-2022,-0.30,-0.50
02-2022,0.18,0.44
03-2022,0.48,0.48
04-2022,0.43,0.43
05-2022,0.13,0.13
06-2022,0.15,0.13
07-2022,0.08,0.12
08-2022,0.02,0.16
09-2022,-0.01,-0.42
10-2022,-0.05,-0.14
11-2022,-0.24,-0.03
12-2022,0.02,0.23